Department,Object Name,Title,Culture,Period,Artist Prefix,Artist Display Name,Artist Display Bio,Artist Suffix,Artist Alpha Sort,Artist Nationality,Artist Begin Date,Artist End Date,Object Date,Object Begin Date
Modern and Contemporary Art,Painting,Moonlightist,,,,R.B. Kitaj,"American, Cleveland, Ohio 1932–2007 Los Angeles, California",,"Kitaj, R.B.",American,1932      ,2007      ,1998,1998
Modern and Contemporary Art,Painting,Wall of Light White,,,,Sean Scully,"American, born Dublin, 1945",,"Scully, Sean","American, born Ireland",1945      ,2045      ,1998,1998
Modern and Contemporary Art,Painting,Derain and Poiret,,,,Red Grooms,"American, born Nashville, Tennessee, 1937",,"Grooms, Red",American,1937      ,2037      ,1998,1998
Modern and Contemporary Art,Painting,Paris Series: Petit Palais,,,,Glen Hansen,"American, born Wantagh, New York 1961",,"Hansen, Glen",American,1961      ,2061      ,1997,1997
Modern and Contemporary Art,Painting,Light Source Direction,,,,Terry Winters,"American, born Brooklyn, New York, 1949",,"Winters, Terry",American,1949      ,2049      ,1997,1997
Modern and Contemporary Art,Painting,Reece's Meadow,,,,Jake Berthot,"American, 1939–2014 Accord, New York",,"Berthot, Jake",American,1939      ,2014      ,1997,1997
Modern and Contemporary Art,Painting,The Beach (A Praia),,,,Beatriz Milhazes,"Brazilian, born Rio de Janeiro 1960",,"Milhazes, Beatriz",Brazilian,1960      ,2060      ,1997,1997
Modern and Contemporary Art,Painting,Reflection Line Method,,,,Terry Winters,"American, born Brooklyn, New York, 1949",,"Winters, Terry",American,1949      ,2049      ,1997,1997
Modern and Contemporary Art,Painting,01.04.97,,,,Zao Wou-Ki,"French (born China), Beijing 1921–2013 Nyon, Switzerland",,"Wou-Ki, Zao","French, born China",1921      ,2013      ,1997,1997
Modern and Contemporary Art,Painting,Bohemia Lies by the Sea,,,,Anselm Kiefer,"German, born Donaueschingen, 1945",,"Kiefer, Anselm",German,1945      ,2045      ,1996,1996
Modern and Contemporary Art,Painting,Untitled,,,,Laura Owens,"American, born 1970",,"Owens, Laura",American,1970      ,2070      ,1996,1996
Modern and Contemporary Art,Painting,m,,,,Robert Cottingham,"American, born Brooklyn, New York, 1935",,"Cottingham, Robert",American,1935      ,2035      ,1996,1996
Modern and Contemporary Art,Painting,The Domes of the East,,,,Sukhrob Kurbanov,"Tajikistan, born 1946",,"Kurbanov, Sukhrob",Tajikistan,1946      ,2046      ,1996,1996
Islamic Art,Painting,Untitled,,,,Sohrab Sepehri,"Iranian, Kashan 1928–1980 Kashan",,"Sepehri, Sohrab",Iranian,1928      ,1980      ,1970–71,1945
Islamic Art,Painting,Untitled,,,,Ardeshir Mohassess,"Iranian, Rasht 1938–2008 New York",,"Mohassess, Ardeshir",Iranian,1938      ,2008      ,1996,1996
Modern and Contemporary Art,Painting,The Keys,,,,Mary Proctor,"American, born Lloyd, Florida, 1960",,"Proctor, Mary",,1960      ,9999      ,1996,1996
Modern and Contemporary Art,Painting,Landscape with Philosopher,,,,Roy Lichtenstein,"American, New York 1923–1997 New York",,"Lichtenstein, Roy",American,1923      ,1997      ,1996,1996
Asian Art,Painting,當代   李華生   9616|9616,China,,,Li Huasheng,"Chinese, 1944–2018",,Li Huasheng,,1944      ,2018      ,1996,1996
Modern and Contemporary Art,Painting,Elizabeth,,,,Wilbur Niewald,"American, born Kansas City, Missouri, 1925",,"Niewald, Wilbur",American,1925      ,2025      ,1994–95,1994
Modern and Contemporary Art,Painting,"Young Kafka, a Dalai Lama",,,,Arturo Elizondo,"Mexican, born Mexico City 1956",,"Elizondo, Arturo",Mexican,1956      ,2056      ,1995,1995
Modern and Contemporary Art,Painting,Hail,,,,Won-Gi Sul,"Korean, born 1951",,"Sul, Won-Gi",Korean,1951      ,2051      ,1995,1995
Modern and Contemporary Art,Painting,Hand,,,,Tchah-Sup Kim,"Korean, born 1940",,"Kim, Tchah-Sup",Korean,1940      ,2040      ,1995,1995
Modern and Contemporary Art,Painting,Brim,,,,Judith Cotton,"Australian, born 1941",,"Cotton, Judith",Australian,1941      ,2041      ,1995,1995
Modern and Contemporary Art,Painting,Delirious Hem,,,,Ellen Gallagher,"American, born Providence, Rhode Island 1965",,"Gallagher, Ellen",American,1965      ,2065      ,1995,1995
Modern and Contemporary Art,Painting,Rituals,,,,Elmar Rojas,"Guatemalan, 1938–2018",,"Rojas, Elmar",Guatemalan,1938      ,2018      ,1995,1995
Modern and Contemporary Art,Painting,Purple Wind,,,,Alex Katz,"American, born Brooklyn, New York, 1927",,"Katz, Alex",,1927      ,2027      ,1995,1995
Robert Lehman Collection,Painting,"Guitar (""Le Pauvre Laboureur"")",French,,,Roger Bezombes,"French, Paris 1913–1994 Paris",,"Bezombes, Roger",French,1913      ,1994      ,1933–94,1933
Modern and Contemporary Art,Painting,Untitled,,,,David Klamen,"American, born Dixon, Illinois 1961",,"Klamen, David",American,1961      ,2061      ,1994,1994
Modern and Contemporary Art,Painting,Residues,,,,Thérèse Oulton,"British, born Shropshire 1953",,"Oulton, Therese",British,1953      ,2053      ,1994,1994
Modern and Contemporary Art,Painting,Are there Ghosts in my House?,,,,Gory,"Cuban, born Havana 1953",,Gory,Cuban,1953      ,2053      ,1994,1994
Modern and Contemporary Art,Painting,Faces #53,,,,Y.Z. Kami,"American, born Iran, Teheran 1956",,"Kami, Y Z",French,1956      ,2056      ,1993,1993
Modern and Contemporary Art,Painting,"The Serenade for the Doll after Claude Debussy, Gift Wrapped Doll #23",,,,James Rosenquist,"American, Grand Forks, North Dakota 1933–2017 New York",,"Rosenquist, James",American,1933      ,2017      ,1993,1993
Modern and Contemporary Art,Painting,Transit,,,,Judith Cotton,"Australian, born 1941",,"Cotton, Judith",Australian,1941      ,2041      ,1993,1993
Modern and Contemporary Art,Painting,Sapphire Skin,,,,Richmond Burton,"American, born Talladega, Alabama 1960",,"Burton, Richmond",American,1960      ,2060      ,1993,1993
Modern and Contemporary Art,Painting,Landscape with Knives,,,,Antonio Henrique Amaral,"Brazilian, São Paulo 1935–2015 São Paulo",,"Amaral, Antonio Henrique",Brazilian,1935      ,2015      ,1993,1993
Modern and Contemporary Art,Painting,Drifting,,,,Miguel Padura,"American (born Cuba), Havana 1957",,"Padura, Miguel",Cuban,1957      ,2057      ,1993,1993
Modern and Contemporary Art,Painting,UG,,,,Daniel Rolph,"British, born London 1967",,"Rolph, Daniel",British,1967      ,2067      ,1993,1993
Modern and Contemporary Art,Painting,Untitled,,,,Edwina Leapman,"British, born Hampshire, 1931",,"Leapman, Edwina",British,1931      ,2031      ,1993,1993
Modern and Contemporary Art,Painting,Self-Portrait,,,,Nicolas Granger-Taylor,"British, born London 1963",,"Granger-Taylor, Nicol",British,1963      ,2063      ,1993,1993
